id,answer_number,answer_content,question_id,next_questions
702,5,Police lieutenant,159,[]
703,6,Police sergeant,159,[]
704,7,Police officer,159,[]
705,8,Police spokesperson,159,[]
706,9,Other,159,[]
707,1,Mayor,160,[]
708,2,Assistant to the mayor,160,[]
709,3,City manager,160,[]
710,4,Assistant city manager,160,[]
711,5,City administrator,160,[]
712,6,City council member,160,[]
713,7,District attorney,160,[]
714,8,City attorney,160,[]
715,9,City parks and recreation officer,160,[]
716,10,City public health officer,160,[]
717,11,Other,160,[]
718,1,Governor,161,[]
719,2,Assistant to governor,161,[]
720,3,Lieutenant governor,161,[]
721,4,Attorney general,161,[]
722,5,Secretary of state,161,[]
723,6,State controller,161,[]
724,7,Other,161,[]
725,1,Police chief,162,[]
726,2,Sheriff,162,[]
727,3,Assistant police chief,162,[]
728,4,Police captain,162,[]
729,5,Police lieutenant,162,[]
730,6,Police sergeant,162,[]
731,7,Police officer,162,[]
732,8,Police spokesperson,162,[]
733,9,Other,162,[]
734,1,City government / city government,163,"[164,170,172]"
735,2,City government / state government,163,"[165,170,173]"
736,3,City government / police,163,"[166,170,174]"
737,4,State government / city government,163,"[167,171,175]"
738,5,State government / state government,163,"[168,171,176]"
739,6,State government / police,163,"[169,171,177]"
740,1,Consultation with police officer/s,166,[]
741,2,Reassignment of police officer/s and/or their responsibilities,166,[]
742,1,Consultation with police officer/s,169,[]
743,2,Reassignment of police officer/s and/or their responsibilities,169,[]
744,1,Mayor,170,[]
745,2,Assistant to the mayor,170,[]
746,3,City manager,170,[]
747,4,Assistant city manager,170,[]
748,5,City administrator,170,[]
749,6,City council member,170,[]
750,7,District attorney,170,[]
751,8,City attorney,170,[]
752,9,City parks and recreation officer,170,[]
753,10,City public health officer,170,[]
754,11,Other,170,[]
755,1,Governor,171,[]
756,2,Assistant to governor,171,[]
757,3,Lieutenant governor,171,[]
758,4,Attorney general,171,[]
759,5,Secretary of state,171,[]
760,6,State controller,171,[]
761,7,Other,171,[]
762,1,Mayor,172,[]
763,2,Assistant to the mayor,172,[]
764,3,City manager,172,[]
765,4,Assistant city manager,172,[]
766,5,City administrator,172,[]
767,6,City council member,172,[]
768,7,District attorney,172,[]
769,8,City attorney,172,[]
770,9,City parks and recreation officer,172,[]
771,10,City public health officer,172,[]
772,11,Other,172,[]
773,1,Governor,173,[]
774,2,Assistant to governor,173,[]
775,3,Lieutenant governor,173,[]
776,4,Attorney general,173,[]
777,5,Secretary of state,173,[]
778,6,State controller,173,[]
779,7,Other,173,[]
780,1,Police chief,174,[]
781,2,Sheriff,174,[]
782,3,Assistant police chief,174,[]
783,4,Police captain,174,[]
784,5,Police lieutenant,174,[]
785,6,Police sergeant,174,[]
786,7,Police officer,174,[]
787,8,Police spokesperson,174,[]
788,9,Other,174,[]
789,1,Mayor,175,[]
790,2,Assistant to the mayor,175,[]
791,3,City manager,175,[]
792,4,Assistant city manager,175,[]
793,5,City administrator,175,[]
794,6,City council member,175,[]
795,7,District attorney,175,[]
796,8,City attorney,175,[]
797,9,City parks and recreation officer,175,[]
798,10,City public health officer,175,[]
799,11,Other,175,[]
800,1,Governor,176,[]
801,2,Assistant to governor,176,[]
802,3,Lieutenant governor,176,[]
803,4,Attorney general,176,[]
804,5,Secretary of state,176,[]
805,6,State controller,176,[]
806,7,Other,176,[]
807,1,Police chief,177,[]
808,2,Assistant police chief,177,[]
809,3,Police captain,177,[]
810,4,Police lieutenant,177,[]
811,5,Police sergeant,177,[]
812,6,Police officer,177,[]
813,8,Police spokesperson,177,[]
814,9,Other,177,[]
815,1,The number of people and/or the size of the crowd at the camp,178,[179]
816,2,Demographics or descriptions of the crowd at the camp,178,[206]
817,3,The number of tents at the camp,178,[189]
818,4,"Information about the camp's legal standing (formal permits, informal permission from the city government, camp conditions/requirements to be in good standing with city)",178,[199]
819,5,The camp's visibility to the rest of the public,178,[205]
820,1,The exact number,179,[180]
821,2,An estimate or approximate number,179,[181]
822,3,Changes in the number of people camping overnight over time,179,"[183,188]"
823,4,Information not given,179,[]
824,1,"""A few,"" ""a handful,"" ""a small group"": 2-5",181,[182]
825,2,"""Several,"" ""a groupâ€ù: 6-11",181,[182]
826,3,"""A dozen (or so)â€ù: 12-19",181,[182]
827,4,"""A small crowd,"" ""a couple dozenâ€ù: 20-34",181,[182]
828,5,"""A crowdâ€ù: 35-75",181,[182]
829,6,"""A large crowd,"" ""a hundred or soâ€ù: 76-150",181,[182]
830,7,"""A mass,"" ""hundreds"": 151-500",181,[182]
831,8,"""Several hundredâ€ù: 501-850",181,[182]
832,9,"""About a thousand"": 851-1,300",181,[182]
833,10,"â€œThousands,â€ù â€œa few thousandâ€ù: 1,301-4,500",181,[182]
834,11,"""Several thousand"": 4,501-8,500",181,[182]
835,12,"""Around ten thousand"": 8,501-12,000",181,[182]
836,13,"""Well over ten thousand"": 12,001-17,000",181,[182]
837,14,"""Tens of thousands"": 17,001-30,000",181,[182]
838,15,"30,000 or more",181,[182]
839,1,Media,182,[]
840,2,Police,182,[]
841,3,City official,182,[]
842,4,Protester,182,[]
843,5,Independent,182,[]
844,6,Information not given,182,[]
845,7,Other,182,[]
846,1,Increased; exact number provided by text,183,[184]
847,2,Increased; exact number not provided by text,183,[185]
848,3,Decreased; exact number provided by text,183,[186]
849,4,Decreased; exact number not provided by text,183,[187]
850,5,Information not given,183,[188]
851,1,"""A few,"" ""a handful,"" ""a small group"": 2-5",185,[]
852,2,"""Several,"" ""a groupâ€ù: 6-11",185,[]
853,3,"""A dozen (or so)â€ù: 12-19",185,[]
854,4,"""A small crowd,"" ""a couple dozenâ€ù: 20-34",185,[]
855,5,"""A crowdâ€ù: 35-75",185,[]
856,6,"""A large crowd,"" ""a hundred or soâ€ù: 76-150",185,[]
857,7,"""A mass,"" ""hundreds"": 151-500",185,[]
858,8,"""Several hundredâ€ù: 501-850",185,[]
859,9,"""About a thousand"": 851-1,300",185,[]
860,10,"â€œThousands,â€ù â€œa few thousandâ€ù: 1,301-4,500",185,[]
861,11,"""Several thousand"": 4,501-8,500",185,[]
862,12,"""Around ten thousand"": 8,501-12,000",185,[]
863,13,"""Well over ten thousand"": 12,001-17,000",185,[]
864,14,"""Tens of thousands"": 17,001-30,000",185,[]
865,15,"30,000 or more",185,[]
866,1,"""A few,"" ""a handful,"" ""a small group"": 2-5",187,[]
867,2,"""Several,"" ""a groupâ€ù: 6-11",187,[]
868,3,"""A dozen (or so)â€ù: 12-19",187,[]
869,4,"""A small crowd,"" ""a couple dozenâ€ù: 20-34",187,[]
870,5,"""A crowdâ€ù: 35-75",187,[]
871,6,"""A large crowd,"" ""a hundred or soâ€ù: 76-150",187,[]
872,7,"""A mass,"" ""hundreds"": 151-500",187,[]
873,8,"""Several hundredâ€ù: 501-850",187,[]
874,9,"""About a thousand"": 851-1,300",187,[]
875,10,"â€œThousands,â€ù â€œa few thousandâ€ù: 1,301-4,500",187,[]
876,11,"""Several thousand"": 4,501-8,500",187,[]
877,12,"""Around ten thousand"": 8,501-12,000",187,[]
878,13,"""Well over ten thousand"": 12,001-17,000",187,[]
879,14,"""Tens of thousands"": 17,001-30,000",187,[]
880,15,"30,000 or more",187,[]
881,1,"Decreasing significantly (ex. ""the camp is diminishing,"" ""the crowd is disappearing"")",188,[]
882,2,"Decreasing slightly (ex. ""fewer campers are staying overnight,"" ""a few campers have left the camp"")",188,[]
883,3,"Little or no change, (ex. ""there are consistently about 25-30 campers,"" ""the camp maintains about 50 campers throughout the week"")",188,[]
884,4,"Increasing slightly (ex. ""more people are joining the camp,"" ""the camp is attracting new members as protests continue"")",188,[]
885,5,"Increasing significantly (ex. ""the camp has doubled in size,"" ""new campers are flooding the camp and setting up tents"")",188,[]
886,6,"Fluctuating (increasing and decreasing over a span of multiple days, ex. ""the camp is full some nights, and nearly empty on others"")",188,[]
887,7,Information not given,188,[]
888,1,The exact number,189,[190]
889,2,An estimate or approximate number,189,[191]
890,3,Changes in the number of tents over time,189,[193]
891,1,"""A few,"" ""a handful,"" ""a small group,"" 1-5",191,[192]
892,2,"""Over five tents,"" ""between five and ten tents,"" ""almost a dozen tents,"" 6-10",191,[192]
893,3,"""More than ten tents,"" ""about a dozen tents,"" ""more than a dozen tents,"" 11-20",191,[192]
894,4,"""Roughly two dozen tents,"" ""almost 50 tents,"" 21-39",191,[192]
895,5,"""Over 50 tents,"" ""dozens of tents,"" 40-69",191,[192]
896,6,"""Almost a hundred tents,"" 70-99",191,[192]
897,7,"""Over 100 tents,"" 100-149",191,[192]
898,8,"""Almost 200 tents,"" 150-199",191,[192]
899,9,"""Hundreds of tents,"" ""several hundred tents,"" 200 or more",191,[192]
900,1,Media,192,[]
901,2,Police,192,[]
902,3,City official,192,[]
903,4,Protester,192,[]
904,5,Independent,192,[]
905,6,Information not given,192,[]
906,7,Other,192,[]
907,1,Increased; exact number provided by text,193,[194]
908,2,Increased; exact number not provided by text,193,[195]
909,3,Decreased; exact number provided by text,193,[196]
910,4,Decreased; exact number not provided by text,193,[197]
911,5,Information not given,193,[]
912,1,"A few,"" ""a handful,"" ""a small group,"" 1-5",195,[]
913,2,"""Over five tents,"" ""between five and ten tents,"" ""almost a dozen tents,"" 6-10",195,[]
914,3,"""More than ten tents,"" ""about a dozen tents,"" ""more than a dozen tents,"" 11-20",195,[]
915,4,"""Roughly two dozen tents,"" ""almost 50 tents,"" 21-39",195,[]
916,5,"""Over 50 tents,"" ""dozens of tents,"" 40-69",195,[]
917,6,"""Almost a hundred tents,"" 70-99",195,[]
918,7,"""Over 100 tents,"" 100-149",195,[]
919,8,"""Almost 200 tents,"" 150-199",195,[]
920,9,"""Hundreds of tents,"" ""several hundred tents,"" 200 or more",195,[]
921,1,"A few,"" ""a handful,"" ""a small group,"" 1-5",197,[]
922,2,"""Over five tents,"" ""between five and ten tents,"" ""almost a dozen tents,"" 6-10",197,[]
923,3,"""More than ten tents,"" ""about a dozen tents,"" ""more than a dozen tents,"" 11-20",197,[]
924,4,"""Roughly two dozen tents,"" ""almost 50 tents,"" 21-39",197,[]
925,5,"""Over 50 tents,"" ""dozens of tents,"" 40-69",197,[]
926,6,"""Almost a hundred tents,"" 70-99",197,[]
927,7,"""Over 100 tents,"" 100-149",197,[]
928,8,"""Almost 200 tents,"" 150-199",197,[]
929,9,"""Hundreds of tents,"" ""several hundred tents,"" 200 or more",197,[]
930,1,"Decreasing significantly (ex. ""the tents are disappearing,"" ""most tents were removed from the camp"")",198,[]
931,2,"Decreasing slightly (ex. ""some tents were removed,"" ""campers dismantled a few tents"")",198,[]
932,3,"Little or no change, (ex. ""there are consistently about 5-10 tents,"" ""the camp maintains about 20 small tents throughout the week"")",198,[]
933,4,"Increasing slightly (ex. ""protesters set up a few more tents,"" ""a handful of tents popped up overnight"")",198,[]
934,5,"Increasing significantly (ex. ""the camp has doubled in size,"" ""new campers are flooding the camp and setting up tents"")",198,[]
935,6,"Fluctuating (increasing and decreasing over a span of multiple days, ex. ""the number of tents changes from day to day"")",198,[]
936,7,Information not given,198,[]
937,1,Yes,199,[]
938,2,No,199,[]
939,3,Information not given,199,[]
940,1,Yes,200,[]
941,2,No,200,[]
942,3,Information not given,200,[]
943,1,Tents and other semi-permanent structures cannot be present,203,[]
944,2,Protesters and/or tents must remain in a certain area at night,203,[]
945,3,"Cannot block sidewalks, walkways, roads, etc.",203,[]
946,4,Cannot prevent citizens from using park comfortably,203,[]
947,5,Park hour/curfew requirements (ex. no overnight camping),203,[]
948,6,"Safety requirements (regarding fires, violence, etc.)",203,[]
949,7,"Sanitation requirements (restrooms, health practices, etc.)",203,[]
950,8,Must undergo repeated inspections and/or clean-ups,203,[]
951,9,Must remain in contact with city government,203,[]
952,10,Other,203,[]
953,1,Yes,204,[]
954,2,No,204,[]
955,3,Information not given,204,[]
956,1,Anarchists,206,[]
957,2,Homeless people,206,[]
958,3,Union members,206,[]
959,4,Reinforcement campers from other cities,206,[]
960,5,Religious leaders or communities,206,[]
961,6,African-American people,206,[]
962,7,Hispanic/Latino people,206,[]
963,8,People under the age of 30,206,[]
964,9,Children,206,[]
965,10,Women,206,[]
966,11,Celebrities,206,[]
967,1,"Camp leadership and operation structure (formal or informal leaders, leadership groups, camp rules or codes of conduct, designated liaisons between the camp and the city, etc.)",207,"[208,209,210]"
968,2,"Camp committees, teams, working groups, services, and/or facilities (groups of camp members working together on a specific aspect of the local movement such as a media committee or security team; facilities or services provided to people at the camp, often located in designated tents)",207,[212]
969,3,"Camp resources (utilities available at the camp for living purposes, such as heating or electricity)",207,[213]
970,4,"Problems and difficulties encountered at the camp (issues with health/sanitation/safety/security, disagreements about the campâ€™s strategies/tactics, unstable camp location, etc.)",207,[214]
971,1,No leader,208,[]
972,2,Informal leadership by multiple individuals,208,[]
973,3,Formal leadership by multiple individuals,208,[]
974,4,Formal elected or appointed leader,208,[]
975,5,Information insufficient or not given,208,[]
976,6,Other,208,[]
977,1,No liaison mentioned,209,[]
978,2,"Liaison mentioned, but not named",209,[]
979,3,Liaison(s) mentioned and named,209,[]
980,1,Yes,210,[211]
981,2,No,210,[]
982,3,Information not given,210,[]
983,1,"Code of conduct mentioned, but rules/regulations are not described",211,[]
984,2,Keep camp clean,211,[]
985,3,No children allowed to camp,211,[]
986,4,No smoking cigarettes,211,[]
987,5,No alcohol,211,[]
988,6,No drugs,211,[]
989,7,No theft,211,[]
990,8,No weapons/ammunition,211,[]
991,9,No violence/fighting (verbal or physical),211,[]
992,10,"No loud noises (yelling, music, etc) during the day",211,[]
993,11,Quiet hours enforced at night,211,[]
994,12,Other,211,[]
995,1,Food/kitchen,212,[]
996,2,"Legal services, lawyers",212,[]
997,3,Security/camp safety,212,[]
998,4,Health/medical,212,[]
999,5,Sanitation/clean-up,212,[]
1000,6,Media/social media/public outreach,212,[]
1001,7,Education/information/libraries/teach-ins,212,[]
1002,8,Technology,212,[]
1003,9,Drug harm reduction centers/needle exchanges,212,[]
1004,10,Meditation/relaxation,212,[]
1005,11,Other,212,[]
1006,12,Information not given,212,[]
1007,1,Electricity,213,[]
1008,2,Heat,213,[]
1009,3,Water,213,[]
1010,4,Restroom,213,[]
1011,5,Internet/wi-fi,213,[]
1012,6,Other,213,[]
1013,1,"Health, sanitation (ex. illness, disease, drug use, extreme weather, death, lack of water or electricity)",214,[215]
1014,2,"Safety, security (ex. crime, violence, children sleeping at camp, mental health disturbances)",214,[216]
1015,3,"Arguments or major disagreements about camp's strategies, tactics, or direction (can result in members being evicted)",214,[217]
1016,4,"Location instability (ex. no camp location exists, having to relocate the camp at nighttime/for community events, etc.)",214,[218]
1017,1,Illness and/or disease,215,[]
1018,2,Use of marijuana,215,[]
1019,3,Use of drugs other than marijuana,215,[]
1020,4,No water,215,[]
1021,5,No electricity,215,[]
1022,6,"Insufficient or no restrooms, using ground as restroom",215,[]
1023,7,"Death (murder, suicide, other/cause unknown)",215,[]
1024,8,Other,215,[]
1025,9,Information insufficient or not given,215,[]
1026,1,Fire hazards,216,[]
1027,2,Aggressive panhandling,216,[]
1028,3,Mental health disturbances,216,[]
1029,4,Children sleeping at the camp,216,[]
1030,5,Verbal aggression or violence NOT about disagreements of the camp's strategies or direction,216,[]
1031,6,Physical aggression or violence NOT about disagreements of the camp's strategies or direction,216,[]
1032,7,Specific threat of violence,216,[]
1033,8,Sexual assault,216,[]
1034,9,Weapons and/or ammunition,216,[]
1035,10,Eviction of dangerous camp members,216,[]
1036,11,Other,216,[]
1037,12,Information insufficient or not given,216,[]
1038,1,"Nonviolent disagreements about the camp's direction, strategies, and/or tactics",217,[]
1039,2,Verbal aggression or violence about disagreements of the camp's strategies or direction,217,[]
1040,3,Physical fights (without weapons) about disagreements of the camp's strategies or direction,217,[]
1041,4,Physical fights (with weapons) about disagreements of the camp's strategies or direction,217,[]
1042,5,Eviction of particular member(s),217,[]
1043,6,Other,217,[]
1044,7,Information insufficient or not given,217,[]
1045,1,Movement does not have any camp location,218,[]
1046,2,Must dismantle tents and/or other camp structures at night,218,[]
1047,3,Must move camp at night (ex. to sidewalk or other location),218,[]
1048,4,Potential eviction or move due to planned community event in camp location,218,[]
1049,5,Other,218,[]
1050,6,Information insufficient or not given,218,[]
1051,1,Community and individual opinions about camp,219,"[220,221,222]"
1052,2,Donations made to the camp,219,"[226,227]"
1053,3,The camp's social media/internet presence (ex. evidence of Facebook/Twitter/Instagram/webpages),219,[228]
1054,1,Individual affiliated with the camp/movement (ex. protesters/campers),220,[]
1055,2,"Individual not affiliated with the camp/movement (ex. citizens, local business owners)",220,[]
1056,3,Multiple individuals not affiliated with the camp/movement,220,[]
1057,4,Community group that is not Occupy,220,[]
1058,5,General community/public,220,[]
1059,6,Celebrity or politician,220,[]
1060,7,Other,220,[]
1061,1,"Very negative, oppositional",221,[]
1062,2,"Slightly negative, unsupportive",221,[]
1063,3,Neutral,221,[]
1064,4,"Slightly positive, supportive",221,[]
1065,5,"Very positive, enthusiastic",221,[]
1066,1,Yes,222,[223]
1067,2,No,222,[]
1068,1,Camp is too loud,223,[]
1069,2,"Camp is dirty, unsightly, an eyesore",223,[]
1070,3,"Camp is attracting criminals, drugs, and/or violence",223,[]
1071,4,Camp disturbs local businesses,223,[]
1072,5,"Protesters are lazy (""hippies"") and should get jobs",223,[]
1073,6,Camp/movement lacks focus or has no clear goal,223,[]
1074,7,Other,223,[]
1075,1,Yes,224,[225]
1076,2,No,224,[]
1077,1,"Camp is quiet, peaceful",225,[]
1078,2,Camp is clean,225,[]
1079,3,Camp/movement improves community,225,[]
1080,4,"Protesters are respectful, welcoming to community members",225,[]
1081,5,"Protesters are admirable citizens, good role models",225,[]
1082,6,Other,225,[]
1083,1,Individual or family,226,[]
1084,2,Local business,226,[]
1085,3,"Community group that is not Occupy (ex. labor unions, churches)",226,[]
1086,4,Another Occupy camp,226,[]
1087,5,Celebrity or politician,226,[]
1088,6,Other,226,[]
1089,1,"Food, drinks",227,[]
1090,2,"Clothing, blankets, sleeping bags, pillows",227,[]
1091,3,"Camp supplies (tents, canopies, tarps, tables, cots, etc.)",227,[]
1092,4,Firewood,227,[]
1093,5,Heaters,227,[]
1094,6,"Power source, generators",227,[]
1095,7,Offer of restrooms/showers,227,[]
1096,8,Money,227,[]
1097,9,Other,227,[]
1098,10,Information not given,227,[]
1099,1,"Facebook profile, page, or group",228,[229]
1100,2,Twitter account or hashtag,228,[231]
1101,3,Instagram account or hashtag,228,[234]
1102,4,"Official blog, website, etc.",228,[235]
1103,1,Yes,229,[230]
1104,2,No,229,[]
1105,1,Yes,231,[232]
1106,2,No,231,[]
1107,1,Yes,233,[]
1108,2,No,233,[]
1109,1,Speaking at a press conference,236,[]
1110,2,Informal interview with news media,236,[]
1111,3,"Writing an open letter, email, op-ed, or press release to the media and/or public",236,[]
1112,4,Social media and/or internet posting,236,[]
1113,5,Other,236,[]
1114,6,Information not given,236,[]
1115,1,Protester,237,[]
1116,2,Official spokesperson,237,[]
1117,3,Other,237,[]
1118,4,Information not given,237,[]
1119,1,The exact time,238,[239]
1120,2,An approximate time,238,[240]
1121,3,Information not given,238,[]
1122,1,Pre-dawn (12am-6am),240,[]
1123,2,Morning (6am-12pm),240,[]
1124,3,Mid-day (12pm-3pm),240,[]
1125,4,Afternoon (3pm-6pm),240,[]
1126,5,Evening (6pm-9pm),240,[]
1127,6,Night (9pm-12am),240,[]
1128,1,Information about GA meetings in general,241,[242]
1129,2,Information about a specific general assembly meeting,241,[248]
1130,1,Frequency of general assemblies,242,[243]
1131,2,Typical attendance at general assemblies,242,[244]
1132,3,How the attendnace at general assemblies changes over time,242,[247]
1133,1,More than once daily,243,[]
1134,2,Once daily,243,[]
1135,3,Once every other day (2-3 times a week),243,[]
1136,4,Once weekly,243,[]
1137,5,Less than once weekly,243,[]
1138,6,Information not given,243,[]
1139,1,The exact number of people who usually attend general assemblies,244,[245]
1140,2,An estimate or approximate number of people who usually attend general assemblies,244,[246]
1141,1,"""A few,"" ""a handful,"" ""a small group"": 2-5",246,[]
1142,2,"""Several,"" ""a groupâ€ù: 6-11",246,[]
1143,3,"""A dozen (or so)â€ù: 12-19",246,[]
1144,4,"""A small crowd,"" ""a couple dozenâ€ù: 20-34",246,[]
1145,5,"""A crowdâ€ù: 35-75",246,[]
1146,6,"""A large crowd,"" ""a hundred or soâ€ù: 76-150",246,[]
1147,7,"""A mass,"" ""hundreds"": 151-500",246,[]
1148,8,"""Several hundredâ€ù: 501-850",246,[]
1149,9,"""About a thousand"": 851-1,300",246,[]
1150,10,"â€œThousands,â€ù â€œa few thousandâ€ù: 1,301-4,500",246,[]
1151,11,"""Several thousand"": 4,501-8,500",246,[]
1152,12,"""Around ten thousand"": 8,501-12,000",246,[]
1153,13,"""Well over ten thousand"": 12,001-17,000",246,[]
1154,14,"""Tens of thousands"": 17,001-30,000",246,[]
1155,15,"30,000 or more",246,[]
1156,1,Decreasing significantly,247,[]
1157,2,Decreasing slightly,247,[]
1158,3,Little or no change,247,[]
1159,4,Increasing slightly,247,[]
1160,5,Increasing significantly,247,[]
1161,6,Fluctuating (increasing and decreasing over a span of multiple days),247,[]
1162,1,The exact number,248,[249]
1163,2,An estimate or approximate number,248,[250]
1164,3,Information not given,248,[]
1165,1,Pre-dawn (12am-6am),250,[]
1166,2,Morning (6am-12pm),250,[]
1167,3,Mid-day (12pm-3pm),250,[]
1168,4,Afternoon (3pm-6pm),250,[]
1169,5,Evening (6pm-9pm),250,[]
1170,6,Night (9pm-12am),250,[]
1171,1,Prospective camp location (for meetings held before a camp has been established),251,[]
1172,2,"Occupy camp (the most common location for general assembly meetings -- often at a park, plaza, or city hall)",251,[]
1173,3,"Public space NOT at a camp (ex. cafe, restaurant)",251,[]
1174,4,Private residence,251,[]
1175,5,Other,251,[]
1176,6,Information not given,251,[]
1177,1,The number of people in attendance at a specific general assembly,252,[253]
1178,2,Issues discussed and/or voted on during a specific general assembly,252,[262]
1179,1,The exact number,253,[254]
1180,2,An estimate or approximate number,253,[255]
1181,3,Information not given,253,[]
1182,1,"""A few,"" ""a handful,"" ""a small group"": 2-5",255,[]
1183,2,"""Several,"" ""a groupâ€ù: 6-11",255,[]
1184,3,"""A dozen (or so)â€ù: 12-19",255,[]
1185,4,"""A small crowd,"" ""a couple dozenâ€ù: 20-34",255,[]
1186,5,"""A crowdâ€ù: 35-75",255,[]
1187,6,"""A large crowd,"" ""a hundred or soâ€ù: 76-150",255,[]
1188,7,"""A mass,"" ""hundreds"": 151-500",255,[]
1189,8,"""Several hundredâ€ù: 501-850",255,[]
1190,9,"""About a thousand"": 851-1,300",255,[]
1191,10,"â€œThousands,â€ù â€œa few thousandâ€ù: 1,301-4,500",255,[]
1192,11,"""Several thousand"": 4,501-8,500",255,[]
1193,12,"""Around ten thousand"": 8,501-12,000",255,[]
1194,13,"""Well over ten thousand"": 12,001-17,000",255,[]
1195,14,"""Tens of thousands"": 17,001-30,000",255,[]
1196,15,"30,000 or more",255,[]
1197,1,Yes,256,[257]
1198,2,No,256,[]
1199,1,"Yes, and attendance increased",257,[258]
1200,2,"Yes, and attendanced decreased",257,[259]
1201,3,No,257,[260]
1202,1,Yes,260,[261]
1203,2,No,260,[]
1204,1,Attendance increased significantly,261,[]
1205,2,Attendance increased slightly,261,[]
1206,3,Little or no change in attendance,261,[]
1207,4,Attendance decreased slightly,261,[]
1208,5,Attendance decreased significantly,261,[]
1209,6,Information not given,261,[]
1210,1,"Elect leaders, officials, and/or representatives",262,[263]
1211,2,Create a list of camp demands,262,[263]
1212,3,Create a list of camp rules,262,[263]
1213,4,Make an official statement,262,[263]
1214,5,"Hold event (ex. move camp, establish a camp in a different location, hold a march/parade/demonstration, etc.)",262,[263]
1215,6,Other,262,[263]
1216,7,Information not given,262,[]
1217,1,Yes,263,[264]
1218,2,No,263,[265]
1219,3,Information not given,263,[]
1220,1,Yes,264,[]
1221,2,No,264,[]
1222,3,Information not given,264,[]
1223,1,Yes,265,[]
1224,2,No,265,[]
1225,3,Information not given,265,[]
1226,1,Raid of camp,266,[267]
1227,2,Showdown at the camp,266,[]
1228,3,Warnings or threats at the camp or through the media,266,[268]
1229,4,Surveillance of camp,266,[269]
1230,5,Surveillance of individual protest organizers away from the camp,266,[270]
1231,6,Arrests of protest organizers away from any protest-initiated event or camp,266,[]
1232,7,Undercover infiltration of a camp,266,[]
1233,8,Undercover infiltration of other protester activities,266,[]
1234,9,Propaganda campaign against Occupy,266,[271]
1235,10,"â€œSnatch â€˜nâ€™ grabâ€ù arrests at camp â€“ arrest of individual people (especially key organizers, at the camp, with or without a warrant)",266,[]
1236,11,Space-taking (i.e. establishing of perimeter barricades or fences or lines of police for          containment or strategic incapacitation purposes),266,[272]
1237,12,Statement (to public and/or Occupy) of refusal to enforce an eviction order or permit expiration or some other law coming from city,266,[]
1238,13,"Notable non-event (e.g. intentional non-enforcement â€“ everyone is expecting police to do one thing, then they don't do it)",266,[273]
1239,14,"Official statement from police chief, or high-level officer or official spokesperson",266,[274]
1240,15,Other,266,[]
1241,1,Some tents/structures were dismantled,267,[]
1242,2,All tents/structures were dismantled,267,[]
1243,3,Protesters were evicted from the camp,267,[]
1244,4,City workers assisted in park cleanup,267,[]
1245,5,Other,267,[]
1246,1,Protesters must leave the camp by a certain date,268,[]
1247,2,"If protesters do not comply with police/city requests (ex. get a permit for the camp, repair health/safety concerns, etc.), they will be evicted",268,[]
1248,3,Other,268,[]
1249,1,"In person, at the camp",269,[]
1250,2,Through a letter or email sent/delivered to the camp,269,[]
1251,3,During a meeting with members of the camp,269,[]
1252,4,"Through social media (Facebook, Twitter, blog/website etc.)",269,[]
1253,5,"Through the media (through interviews, press conferences, official statements, etc)",269,[]
1254,6,Other,269,[]
1255,1,"Walking through the camp, watching camp activity (ex. general assembly meetings, voting, organizing)",270,[]
1256,2,Videotaping or taking photos of protesters and/or camp,270,[]
1257,3,Driving past the camp,270,[]
1258,4,Watching the camp from a parked car,270,[]
1259,1,"Protester(s), not camp leaders or organizers",271,[]
1260,2,Protest/camp leader and/or organizer,271,[]
1261,3,Other,271,[]
1262,1,"Social media (Facebook, Twitter, blog/website, etc)",272,[]
1263,2,"Media (through interviews, press releases, press conferences, etc.)",272,[]
1264,1,"Fencing or barricading areas (ex. buildings, walkways, streets) to block access by protesters; and/or creating a designated protest zone where campers are allowed to protest",273,[]
1265,2,Forming skirmish lines,273,[]
1266,3,Other,273,[]
1267,1,Issuing an eviction order to protesters,274,"[275,276]"
1268,2,Performing arrests at the camp,274,"[275,276]"
1269,3,"Raiding the camp and/or enforcing eviction deadlines made by the city or police (ex. dismantling/removing tents and structures, evicting protesters)",274,"[275,276]"
1270,4,Other,274,"[275,276]"
1271,1,Speaking at a press conference,275,[]
1272,2,Informal interview with news media,275,[]
1273,3,"Writing an open letter, email, op-ed, or press release to the media and/or public",275,[]
1274,4,Social media and/or internet posting,275,[]
1275,5,Other,275,[]
1276,6,Information not given,275,[]
1277,1,"Police Chief, Commissioner, Superintendent, or Sheriff",276,[277]
1278,2,Commander or Inspector,276,[277]
1279,3,Colonel,276,[]
1280,4,Major,276,[]
1281,5,Captain,276,[]
1282,6,Lieutenant,276,[]
1283,7,Sergeant,276,[]
1284,8,Officer,276,[]
1285,9,"Official spokesperson, media correspondent",276,[]
1286,1,The exact time,277,[]
1287,2,An approximate time,277,[]
1288,3,Information not given,277,[]
1289,1,Pre-dawn (12am-6am),279,[]
1290,2,Morning (6am-12pm),279,[]
1291,3,Mid-day (12pm-3pm),279,[]
1292,4,Afternoon (3pm-6pm),279,[]
1293,5,Evening (6pm-9pm),279,[]
1294,6,Night (9pm-12am),279,[]
1295,1,The exact location or address,280,[281]
1296,2,"An approximate location, or clues about where the event took place (e.g. ""the small group of protesters marched down Market Street)",280,[282]
1297,3,Information not given,280,[]
